app,category,rating,review,size,installs,type,price,content_rating,genres,last_updated,current_version,android_ver
GasPrices(Germanyonly),AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,Auto  Vehicles,2018-07-29,2.5.1,4.4
ExtremeRallyChampionship,AUTO_AND_VEHICLES,4.2,129,54000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-26,3.0,4.1
RestartNavigator,AUTO_AND_VEHICLES,4.0,1403,201000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2014-08-26,1.0.1,2.2
"REGChecktheregnumber,findinformationaboutSwedishvehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-30,2.493,4.4
CityBusLviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,Auto  Vehicles,2018-07-08,1.9.1,4.0.3
CDLPracticeTest2018Edition,AUTO_AND_VEHICLES,4.9,7774,17000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-03,1.7,4.2
"ezETC(ETCbalanceinquiry,metertrial,realtimetraffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-28,2.20 Build 02,4.1
FreeVINReportforUsedCars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto  Vehicles,2018-06-12,1.37,4.0
DMVPermitPracticeTest2018Edition,AUTO_AND_VEHICLES,4.9,6090,27000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-03,1.7,4.2
CheckVehicleTax,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,Auto  Vehicles,2018-07-30,0.2.1,4.4
UsedCarsMexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,Auto  Vehicles,2016-10-14,1.0,2.3
UsedcarsforsaleTrovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-16,4.47.3,4.0.3
"FinesoftheStateTrafficSafetyInspectorateareofficial:inspection,paymentoffines",AUTO_AND_VEHICLES,4.8,116986,35000000.0,5000000,Free,0.0,Everyone,Auto  Vehicles,2018-08-02,1.9.7,4.0.3
SKEncaDirectMallsUsedCarsSearch,AUTO_AND_VEHICLES,3.6,1379,16000000.0,500000,Free,0.0,Everyone,Auto  Vehicles,2018-08-02,2.2.21,4.2
"AndroidAutoMaps,Media,MessagingVoice",AUTO_AND_VEHICLES,4.2,271920,16000000.0,10000000,Free,0.0,Teen,Auto  Vehicles,2018-07-11,Varies with device,5.0
TicketsSDA2019+ExamRF,AUTO_AND_VEHICLES,4.8,7021,17000000.0,500000,Free,0.0,Everyone,Auto  Vehicles,2018-07-27,1.79,4.0
SuperCarsWallpapersAndBackgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0.0,Everyone,Auto  Vehicles,2018-06-14,1.3,4.0
"PoliceLights,SirensFollowMe",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0.0,Everyone,Auto  Vehicles,2018-06-08,2.3.5.1,4.1
PoliceDetector(SpeedCameraRadar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,Auto  Vehicles,2018-07-04,1.6,4.0
BestCarWallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto  Vehicles,2018-03-27,1.6,4.1
Tickets+PDA2018Exam,AUTO_AND_VEHICLES,4.9,197136,38000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-15,8.31,4.1
PickYourPartGarage,AUTO_AND_VEHICLES,3.9,142,32000000.0,50000,Free,0.0,Everyone,Auto  Vehicles,2018-07-24,1.1.5.0,6.0
PakWheels:BuySellCars,AUTO_AND_VEHICLES,4.4,15168,37000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-27,10.0.2,4.2
Supervisionservice,AUTO_AND_VEHICLES,4.0,2155,15000000.0,500000,Free,0.0,Everyone,Auto  Vehicles,2018-07-30,1.10.3,5.0
SpeedCameraDetectorTrafficSpeedAlert,AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-23,1.0,4.0.3
UsedcarsearchGoonetwholecarGotonet,AUTO_AND_VEHICLES,3.7,5414,18000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-23,3.20.1,4.4
BESTCARSOUNDS,AUTO_AND_VEHICLES,4.3,348,38000000.0,100000,Free,0.0,Everyone,Auto  Vehicles,2018-07-29,1.0.3,2.3
RSTSaleofcarsonthePCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0.0,Everyone,Auto  Vehicles,2018-04-27,1.4,4.0.3
SMSPark,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0.0,Everyone,Auto  Vehicles,2018-05-16,2.8.2,4.1
SKencar,AUTO_AND_VEHICLES,3.7,4806,35000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-31,4.0.3,4.0.3
autofines,AUTO_AND_VEHICLES,4.6,31433,17000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-08-02,1.40,4.0.3
"Usedcaristhefirstcarusedcarpurchase,usedcarquotation,dealerinformationto",AUTO_AND_VEHICLES,4.6,5097,19000000.0,1000000,Free,0.0,Everyone,Auto  Vehicles,2018-07-23,1.5.18,4.0.3
AlloftheparkinglotNationalParkapplication(parkinglotsearch/parkingsharing/discountpayment),AUTO_AND_VEHICLES,4.0,1754,14000000.0,500000,Free,0.0,Everyone,Auto  Vehicles,2018-06-02,2.3.4,4.0
InquiryFinesandDebitsofVehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0.0,Everyone,Auto  Vehicles,2018-03-20,1.03,4.0.3
GasStation,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,Free,0.0,Everyone,Auto  Vehicles,2018-04-21,2.17,4.0
HushBeautyforEveryone,BEAUTY,4.7,18900,17000000.0,500000,Free,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0
"ipsy:Makeup,Beauty,andTips",BEAUTY,4.9,49790,14000000.0,1000000,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1
Naturalrecipesforyourbeauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1
"BestCamSelfieselfie,beautycamera,photoeditor",BEAUTY,3.9,1739,21000000.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3
BeautySelfieCamera,BEAUTY,4.2,2225,52000000.0,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1
Hairstylesstepbystep,BEAUTY,4.6,4369,14000000.0,100000,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3
FiltersforSelfie,BEAUTY,4.3,8572,25000000.0,1000000,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0
TieAlwaysbehappy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2
PromMakeUpTutorial,BEAUTY,4.8,104,12000000.0,10000,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3
SweetSelfieBeautyCamera,BEAUTY,4.3,601,35000000.0,100000,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0
ColorsofwhiteinUrdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0
SelfieCameraPhotoEditorFilterSticker,BEAUTY,4.1,187,30000000.0,50000,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3
EyesMakeupBeautyTips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3
PhotoEditor2018,BEAUTY,4.5,134,17000000.0,10000,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3
StepByStepEyesMakeupTutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3
MirrorCamera(Mirror+SelfieCamera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0
BeautyTipsBeautyTipsinSinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3
HaircutTutorials/HaircutVideos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0
"Sephora:SkinCare,BeautyMakeupFragranceShop",BEAUTY,4.5,26834,57000000.0,1000000,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0
"StickerCameraSelfieFilters,BeautyCamera",BEAUTY,3.9,2277,22000000.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3
FiltersforBLive,BEAUTY,4.4,2280,24000000.0,500000,Free,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0
FacialWrinkleReduction,BEAUTY,4.6,184,21000000.0,10000,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1
MakeupVideos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0
DiscoverColor,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,2018-05-24,1.1,4.0.3
Eyelinerstepbystep2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3
DressesIdeasFashions+3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6
StepByStepHairstylesForWomen,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,2018-04-05,3.1.89,4.0.3
RainbowCamera,BEAUTY,3.7,3871,23000000.0,1000000,Free,0.0,Everyone,Beauty,2018-07-30,2.2.0,4.0
Methodsofteethwhitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,2017-08-07,1.0,4.0.3
Girlshairstyles2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,2018-05-28,1.9.2,4.0.3
EBookReadReadBookforfree,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books  Reference,2018-08-03,1.3.2,4.4
Downloadfreebookwithgreenbook,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books  Reference,2017-07-31,1.1,4.0
FreePandaRadioMusic,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books  Reference,2018-03-27,2.1,4.1
Bookstore,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books  Reference,2018-06-06,3.2.1,4.0
EnglishGrammarCompleteHandbook,BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0.0,Everyone,Books  Reference,2018-01-21,1.0,4.0
FreeBooksSpiritFanfictionandStories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books  Reference,2018-08-01,2.0.075,4.0.3
AlReaderanytextbookreader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books  Reference,2018-05-27,1.911805270,2.3
OfflineEnglishDictionary,BOOKS_AND_REFERENCE,4.2,860,13000000.0,100000,Free,0.0,Everyone,Books  Reference,2018-07-17,1.0,4.0.3
OxfordDictionaryofEnglish:Free,BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0.0,Everyone,Books  Reference,2018-07-11,9.1.363,4.1
Offline:EnglishtoTagalogDictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books  Reference,2018-08-04,1.1.6,4.0.3
FamilySearchTree,BOOKS_AND_REFERENCE,4.3,17506,17000000.0,1000000,Free,0.0,Everyone,Books  Reference,2018-07-20,2.3.18,4.1
CloudofBooks,BOOKS_AND_REFERENCE,3.3,1862,19000000.0,1000000,Free,0.0,Everyone,Books  Reference,2018-04-27,2.2.5,4.1
RecipesofPropheticMedicineforfree,BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0.0,Everyone,Books  Reference,2018-05-17,15.0,2.3
ReadEra–freeebookreader,BOOKS_AND_REFERENCE,4.8,47303,21000000.0,1000000,Free,0.0,Everyone,Books  Reference,2018-06-02,18.05.31+530,4.1
EbookReader,BOOKS_AND_REFERENCE,4.1,85842,37000000.0,5000000,Free,0.0,Everyone,Books  Reference,2018-06-25,5.0.6,4.0
LitnetEbooks,BOOKS_AND_REFERENCE,4.6,7831,15000000.0,100000,Free,0.0,Teen,Books  Reference,2018-07-04,1.2.3,4.0
Readbooksonline,BOOKS_AND_REFERENCE,4.1,91615,23000000.0,5000000,Free,0.0,Mature 17+,Books  Reference,2018-06-29,3.12,4.1
EnglishtoUrduDictionary,BOOKS_AND_REFERENCE,4.6,4620,19000000.0,500000,Free,0.0,Everyone,Books  Reference,2017-11-23,2.0,4.0.3
eBoox:bookreaderfb2epubzip,BOOKS_AND_REFERENCE,4.7,21336,23000000.0,1000000,Free,0.0,Everyone,Books  Reference,2018-06-20,1.28,3.0
EnglishPersianDictionary,BOOKS_AND_REFERENCE,4.5,26875,73000000.0,500000,Free,0.0,Everyone,Books  Reference,2018-08-01,6.0.8,4.0.3
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0.0,Mature 17+,Books  Reference,2014-10-16,1.0.3,2.1
AllMathsFormulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books  Reference,2018-07-11,1.9,4.4
EnglishtranslationfromBengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0.0,Everyone,Books  Reference,2018-03-31,14.0,4.0
PdfBookDownloadReadPdfBook,BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0.0,Everyone,Books  Reference,2018-05-28,6.0,4.0.3
FreeBookReader,BOOKS_AND_REFERENCE,3.4,1680,4.0,100000,Free,0.0,Everyone,Books  Reference,2016-08-20,3.05,4.0.3
eBooxnew:Readerforfb2epubzipbooks,BOOKS_AND_REFERENCE,4.9,2739,21000000.0,50000,Free,0.0,Everyone,Books  Reference,2018-07-17,2.0,3.0
"Only30daysinEnglish,theguidelineisguaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0.0,Everyone,Books  Reference,2018-06-16,1.5,3.0
EnglishMyanmarDictionary,BOOKS_AND_REFERENCE,4.4,8788,10000000.0,1000000,Free,0.0,Everyone,Books  Reference,2018-07-28,2.5.3,4.0
GoldenDictionary(ENAR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books  Reference,2018-07-19,7.0.4.6,4.2
AllLanguageTranslatorFree,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books  Reference,2018-07-29,1.15,4.0.3
AzpeneReader,BOOKS_AND_REFERENCE,3.5,156,42000000.0,500000,Free,0.0,Everyone,Books  Reference,2018-02-15,3.1.7.9,2.2
EnglishDictionaryOffline,BOOKS_AND_REFERENCE,4.4,341157,30000000.0,10000000,Free,0.0,Everyone 10+,Books  Reference,2018-03-20,3.9.1,4.2
ADPMobileSolutions,BUSINESS,4.3,85185,29000000.0,5000000,Free,0.0,Everyone,Business,2018-07-17,3.4.2,5.0
OfficeSuite:FreeOffice+PDFEditor,BUSINESS,4.3,1002861,35000000.0,100000000,Free,0.0,Everyone,Business,2018-08-02,9.7.14188,4.1
USPSMOBILE®,BUSINESS,3.9,16589,9.1,1000000,Free,0.0,Everyone,Business,2018-06-14,4.9.10,4.0.3
JobSearchbyZipRecruiter,BUSINESS,4.8,148945,25000000.0,1000000,Free,0.0,Everyone,Business,2018-07-19,5.2.8,5.0
CurriculumvitaeAppCVBuilderFreeResumeMaker,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,2018-07-08,3.3,4.1
GooglePrimer,BUSINESS,4.4,62272,18000000.0,10000000,Free,0.0,Everyone,Business,2018-06-26,3.550.2,4.1
AlbaHeavenAlvarezJobPortalServices,BUSINESS,4.0,8941,12000000.0,5000000,Free,0.0,Everyone,Business,2018-07-31,4.6.30,4.0.3
SuperLivePro,BUSINESS,4.3,46353,21000000.0,1000000,Free,0.0,Everyone,Business,2016-04-13,2.8,1.5
PolarisOfficeforLG,BUSINESS,4.2,30847,55000000.0,5000000,Free,0.0,Everyone,Business,2018-02-08,7.3.21,4.1
CallBlocker,BUSINESS,4.6,188841,3.2,5000000,Free,0.0,Everyone,Business,2018-06-21,1.1.13,4.0
Plugin:AOTv5.0,BUSINESS,3.1,4034,23000.0,100000,Free,0.0,Everyone,Business,2015-09-11,3.0.1.11 (Build 311),2.2
Kariyer.net,BUSINESS,3.9,45964,16000000.0,1000000,Free,0.0,Everyone,Business,2018-07-18,5.1.5,4.1
BecomeaJobFindajoboradvertise,BUSINESS,4.1,6903,14000000.0,1000000,Free,0.0,Everyone,Business,2018-07-10,2.3.6,4.1
ZOOMCloudMeetings,BUSINESS,4.4,31614,37000000.0,10000000,Free,0.0,Everyone,Business,2018-07-20,4.1.28165.0716,4.0
"IndiaMART:SearchProducts,Buy,SellTrade",BUSINESS,4.5,207372,11000000.0,5000000,Free,0.0,Everyone,Business,2018-08-02,12.2.4,4.0
ViettelPostexpressdelivery,BUSINESS,4.4,1225,25000000.0,100000,Free,0.0,Everyone,Business,2018-08-01,1.0.6.8,4.1
MyASUSServiceCenter,BUSINESS,4.4,380837,7.3,10000000,Free,0.0,Everyone,Business,2018-07-04,3.4.5,4.2
JobKoreaCareerJobs,BUSINESS,4.3,10600,6.5,1000000,Free,0.0,Everyone,Business,2018-08-01,2.5.6,4.0
"104Lookingforajoblookingforajob,lookingforajob,lookingforaparttimejob,healthcheckup,resume,treatmentroom",BUSINESS,4.4,74359,25000000.0,1000000,Free,0.0,Everyone,Business,2018-07-27,1.12.5,4.0
Myanmar2D/3D,BUSINESS,4.6,822,3.1,100000,Free,0.0,Everyone,Business,2018-06-08,1.5,4.0.3
sABN,BUSINESS,4.4,2287,1.5,1000000,Free,0.0,Everyone,Business,2018-03-26,4.9,2.2
ATICargoesandTransportation,BUSINESS,4.7,4162,7.5,100000,Free,0.0,Everyone,Business,2018-07-24,0.9.4,4.0.3
SecureFolder,BUSINESS,3.8,14760,8.6,50000000,Free,0.0,Everyone,Business,2018-01-31,1.1.07.6,7.0
TinyScannerPDFScannerApp,BUSINESS,4.7,286897,39000000.0,10000000,Free,0.0,Everyone,Business,2017-05-30,1.2.6,3.0
FastScanner:FreePDFScan,BUSINESS,4.5,103755,14000000.0,10000000,Free,0.0,Everyone,Business,2018-07-11,3.9.2,4.1
MobileDocScanner(MDScan)Lite,BUSINESS,4.2,46505,19000000.0,1000000,Free,0.0,Everyone,Business,2018-08-02,3.4.49,4.1
TurboScan:scandocumentsandreceiptsinPDF,BUSINESS,4.7,11442,6.8,100000,Paid,4.99,Everyone,Business,2018-03-25,1.5.2,4.0
TinyScannerPro:PDFDocScan,BUSINESS,4.8,10295,39000000.0,100000,Paid,4.99,Everyone,Business,2017-04-11,3.4.6,3.0
Zenefits,BUSINESS,4.2,296,14000000.0,50000,Free,0.0,Everyone,Business,2018-06-15,3.2.1,4.1
GoogleAds,BUSINESS,4.3,29313,20000000.0,5000000,Free,0.0,Everyone,Business,2018-07-30,1.12.0,4.0.3
